word,def,sentiment,
Glorifica'tion.,The act of giving glory.,,
To GLO'RIFY.,1. To procure honour or praise to one. 2. To pay honour or praise in worship. 3. To praise; to honour; to extol. 4. To exalt to glory or dignity.,,
GLO'RIOUS.,1. Boastful; proud; haughty; ostentatious. 2. Noble; illustrious; excellent.,,
Glo'riously.,Nobly; splendidly; illustriously.,,
Glo'ry.,1. Praise paid in adoration. 2. The felicity of heaven prepared for those that please God. 3. Honour; praise; fame; renown; celebrity. 4. Splendour; magnificence. 5. Lustre; brightness. 6. A circle of rays which surrounds the heads of saints in picture. 7. Pride; boastfulness; arrogance. 8. Generous pride.,,
To Glo'ry.,To boast in; to be proud of.,,
To Glose.,To flatter; to collogue.,,
GLOSS.,1. A scholium; a comment. 2. An interpretation artfully specious; a specious representation. 3. Superficial lustre.,,
To Gloss.,1. To comment. 2. To make sly remarks.,,
To Gloss.,1. To explain by comment. 2. To palliate by specious exposition or representation. 3. To embellish with superficial lustre.,,
Glo'ssary.,A dictionary of obscure or antiquated words.,,
Glossa'tor.,A writer of glosses; a commentator.,,
Glo'sser.,1. A scholiast; a commentator. 2. A polisher.,,
Glo'ssiness.,Smooth polish; superficial lustre.,,
Glo'ssographer.,A scholiast; a commentator.,,
Glo'ssography.,The writing of commentaries.,,
Glo'ssy.,Shining; smoothly polished.,,
To Glout.,To pout; to look sullen.,,
GLOVE.,Cover of the hands.,,
To Glove.,To cover as with a glove.,,
Glo'ver.,One whose trade is to make or sell gloves.,,
To GLOW.,"1. To be heated so as to shine without flame. 2. To burn with vehement heat. 3. To feel heat of body. 4. To exhibit a strong bright colour. 5. To feel passion of mind, or activity of fancy. 6. To rage or burn as a passion.",,
To Glow.,To make hot so as to shine.,,
Glow.,1. Shining heat. 2. Vehemence of passion. 3. Brightness or vividness of colour.,,
Glo'wworm.,A small creeping insect with a luminous tail.,,
To Gloze.,1. To flatter; to wheedle; to insinuate; to fawn. 2. To comment.,,
Gloze.,1. Flattery; insinuation. 2. Specious show; gloss.,,
GLUE.,A viscous body commonly made by boiling the skins of animals to a gelly; any viscous or tenacious matter by which bodies are held one to another; a cement.,,
To Glue.,1. To join with a viscous cement. 2. To hold together. 3. To join; to unite; to inviscate.,,
Glu'eboiler.,One whose trade is to make glue.,,
Glu'er.,One who cements with glue.,,
Glum.,Sullen; stubbornly grave.,,
To GLUT.,1. To swallow; to devour. 2. To cloy; to fill beyond sufficiency; to sate; to disgust. 3. To feast or delight even to satiety. 4. To overfill; to load. 5. To saturate.,,
Glut.,1. That which is gorged or swallowed. 2. Plenty even to loathing and satiety. 3. More than enough; overmuch. 4. Any thing that fills up a passage.,,
GLU'TINOUS.,Gluey; viscous; tenacious.,,
Glu'tinousness.,Viscosity; tenacity.,,
Glu'tton.,1. One who indulges himself too much in eating. 2. One eager of any thing to excess.,,
To Glu'ttonise.,To play the glutton; to be luxurious.,,
Glu'ttonous.,Given to excessive feeding; delighted overmuch with food.,,
Glu'ttonously.,With the voracity of a glutton.,,
Glu'ttony.,Excess of eating; luxury of the table.,,
Glu'y.,2 1 . Viscous; tenacious; glutinous.,,
GLYN.,A hollow between two mountains.,,
To Gnar. To Gnarl.,To growl; to murmur; to snarl.,,
Gna'rled.,Knotty.,,
To Gnash.,To strike together; to clash.,,
To Gnash.,1. To grind or collide the teeth. 2. To rage even to collision of the teeth; to fume; to growl.,,
GNAT.,1. A small winged stinging insect. 2. Any thing proverbially small.,,
Gna'tflower.,A flower otherwise called the beeflower.,,
To Gnaw.,1. To eat by degrees; to devour by slow corrosion. 2. To bite in agony or rage. 3. To wear away by biting. 4. To fret; to waste; to corrode. 5. To pick with the teeth.,,
To Gnaw.,To exercise the teeth.,,
Gna'wer.,One that gnaws.,,
Gno'mon.,The hand or pin of a dial.,,
Gno'monicks.,"A science which makes a part of the mathematicks: it teaches to find the just proportion of shadows for the construction of all kinds of sun and moon dials, and for knowing what o'clock it is by means thereof; as also of a gnomon or stile, that throws off the shadow for this purpose.",,
To GO. To Go about. To Go aside. To Go between. To Go by. To Go by. To Go by. To Go down. To Go in and out. To Go in and out. To Go off. To Go off. To Go on. To Go on. To Go over. To Go out. To Go out. To Go through. To Go through.,"1. To walk; to move step by step. 2. To move; not stand still. 3. To walk solemnly. 4. To walk leisurely, not run. 5. To travel; to journey a-foot. 6. To proceed; to make a progress. 7. To remove from place to place. 8. To depart from a place; to move from a place; the opposite of to come. 9. To move or pass in any manner, or to any end. 10. To pass in company with others. 11. To proceed in any course of life good or bad. 12. To proceed in mental operations. 13. To take any road. 14. To march in a hostile or warlike manner. 15. To change state or opinion for better or worse. 16. To apply one's self. 17. To have recourse to. 18. To be about to do. 19. To shift; to pass life not quite well. 20. To decline; to tend towards death or ruin. 21. To be in party or design. 22. To escape. 23. To tend to any act. 24. To be uttered. 25. To be talked of; to be known. 26. To pass; to be received. 27. To move by mechanism. 28. To be in motion from whatever cause. To move in any direction. To flow; to pass; to have a course. To have any tendency. To be in a state of compact or partnership. To be regulated by any method; to proceed upon principles. To be pregnant. To pass; not to remain. To pass; not to be retained. To be expended. To be in order of time or place. To reach or be extended to any degree. To extend to consequences. To reach by effects. To extend in meaning. To spread; to be dispersed; to reach farther. To have influence; to be of weight. To be rated one with another; to be considered with regard to greater or less worth. To contribute; to conduce; to concur. To fall out, or terminate; to succeed. To be in any state. To proceed in train or consequence. To attempt; to endeavour; to set one's self to any business. To err; to deviate from the right. To interpose; to moderate between two. To pass away unnoticed. To find or get in the conclusion. To observe as a rule. To be swallowed; to be received, not re-jected. To do the business of life. To be at liberty. To die; to go out of life; to decease. To depart from a post. To make attack. To proceed. To revolt; to betake himself to another party. To go upon any expedition. To be extinguished. To perform throughly; to execute. To suffer; to undergo. The senses of this word are very indistinct: its general notion is motion or progression.",,
Go-by.,Delusion; artifice; circumvention; over-reach.,,
Go-cart.,"A machine in which children are inclosed to teach them to walk, and which they push forward without danger of falling.",,
Go to.,"Come, come, take the right course. A scornful exhortation.",,
Goad.,A pointed instrument with which oxen are driven forward.,,
To Goad.,1. To prick or drive with a goad. 2. To incite; to stimulate; to instigate; to drive forward.,,
Goal.,1. The landmark set up to bound a race; the point marked out to which racers run. 2. The starting post. 3. The final purpose; the end to which a design tends.,,
Goar.,Any edging sewed upon cloath to strengthen it.,,
GOAT.,A ruminant animal that seems a middle species between deer and sheep.,,
Goa'tchafer.,An insect; a kind of beetle.,,
Goa'therd.,One whose employment is to tend goats.,,
Goa'tish.,"Resembling a goat in any qualities: as, rankness; lust.",,
Goa'tmilker.,A kind of owl so called from sucking goats.,,
Goats Rue.,"It hath a perennial root: the leaves grow by pairs, fastened to a mid-rib, terminating in an odd lobe: the flower is of the papilionaceous kind, consisting of a standard, the wings, and the keel: the pointal becomes a long taper pod, which is filled with oblong kidney-shaped seeds. This plant is propagated for medicinal use.",,
Goats-thorn,"It hath a papilinaceous flower, out of which empalement arises the pointal, which afterwards becomes a bicapsular pod filled with kidney-shaped seeds: the leaves grow by pairs on a middle rib, which always end in a thorn. Tournefort says the gum adragant, or dragon, is produced in Crete.",,
Gob.,A small quantity.,,
GO'BBET.,A mouthful; as much as can be swallowed at once.,,
To Go'bbet.,To swallow at a mouthful.,,
To GO'BBLE.,To swallow hastily with tumult and noise.,-2,
Go'bbler.,One that devours in haste; a gormand; a greedy eater.,-2,
Gobetween.,One that transacts business by running between two parties.,1,
Go'blet.,"A bowl, or cup, that holds a large draught.",1,
Go'blin.,1. An evil spirit; a walking spirit; a frightful phantom. 2. A fairy; an elf.,-2.5,
GOD.,1. The Supreme Being. 2. A false god; an idol. 3. Any person or thing deified or too much honoured.,2,
To God.,To deify; to exalt to divine honours.,2,
Go'dchild.,"one for whom one became sponsor at baptism, and promised to see educated as a Christian.",2,
Go'ddaughter.,A girl for whom one became sponsor in baptism.,2,
Go'ddess.,A female divinity.,2,
Go'ddess-like.,Resembling a goddess.,2.5,
Go'dfather.,The sponsor at the font.,2,
Go'dhead.,1. Godship; deity; divinity; divine nature. 2. A deity in person; a god or goddess.,2.5,
Go'dless.,Without sense of duty to God; atheistical; wicked; irreligious; impious.,-2.5,
Go'dlike.,Divine; resembling a divinity; supremely excellent.,3,
Go'dliness.,1. Piety to God. 2. General observation of all the duties prescribed by religion.,2.5,
Go'dling.,A little divinity; a diminutive god.,2,
Go'dly.,1. Pious towards God. 2. Good; righteous; religious.,2,
Go'dly.,Piously; righteously.,2.5,
Go'dlyhead.,Goodness; righteousness.,2.5,
Go'dmother.,A woman who has become sponsor in baptism.,2,
Go'dship.,The rank or character of a god; deity; divinity.,2,
Go'dson.,One for whom one has been sponsor at the font.,2,
Go'dward.,To Godward is toward God.,2,
Go'dyeld. Go'dyield.,A term of thanks.,2,
Goel.,Yellow.,1,
Go'er.,1. One that goes; a runner. 2. A walker; one that has a gait or manner of walking good or bad.,0,
To Go'ggle.,To look asquint.,-1,
Go'ggle-eyed.,Squint-eyed; not looking strait.,-1,
Go'ing.,1. The act of walking. 2. Pregnancy. 3. Departure.,1,
GOLD.,"Gold is the heaviest, the most dense, the most simple, the most ductile, and most fixed of all bodies; not to be injured either by air or fire, and seeming incorruptible. It is soluble by means of sea-salt; but is injured by no other salt, and is most easily of all metals amalgamated with silver. Gold is frequently found native, and very rarely in a state of ore. It never constitutes a peculiar ore, but is found most frequently among ore of silver. Native gold is seldom found pure, but has almost constantly silver with it, and very frequently copper. Gold dust, or native gold, in small masses, is mixed among the sand of rivers in many parts of the world. It is found, in the greatest abundance, bedded in masses of hard stone, often at the depth of a hundred and fifty fathoms in the mines of Peru. Pure gold is so fixed, that Boerhaave informs us of an ounce of it set in the eye of a glass furnace for two months, without losing a single grain. 2. Money. 3. It is used for any thing pleasing or valuable.",2,
Gold of Pleasure.,"It hath a flower of four leaves, placed in form of a cross, out of whose cup arises the pointal, which becomes a turbinated fruit, having one cell, in which is included an oblong seed, and two empty cells at the point.",2.25,
Go'ldbeater.,One whose occupation is to beat or foliate gold so as to gild other matter.,,
Go'ldbeater's Skin.,"The intestinum rectum of an ox, which goldbeaters lay between the leaves of their metal while they beat it, whereby the membrane is reduced thin, and made fit to apply to cuts or small fresh wounds, as is now the common practice.",,
Go'ldbound.,Encompassed with gold.,,
Go'lden.,1. Made of gold; consisting of gold. 2. Shining; bright; splendid; resplendent. 3. Yellow; of the colour of gold. 4. Excellent; valuable. 5. Happy; resembling the age of gold.,3,
Go'lden Saxifrage.,"It hath a perennial fibrose root: the flowercup is divided into four parts: the flower has no visible petals, but eight stamina, or threads, which surround the ovary: the pointal becomes a membraneous vessel, which is forked and bivalve, inclosing many small seeds. It grows wild upon marshy soil, and in shady woods.",,
Go'ldenly.,Delightfully; splendidly.,3,
Go'ldfinch.,"A singing bird, so named from his golden colour.",2,
Go'ldfinder.,One who finds gold.,2,
Go'ldhammer.,A kind of bird.,1,
Go'ldsize.,A glue of a golden colour; glue used by gilders.,,
Go'ldsmith.,1. One who manufactures gold. 2. A banker; one who keeps money for others in his hands.,,
Go'ldylocks.,"It hath a fibrose perennial root: its numerous leaves are produced alternately on every side the branches: the flowers are yellow, and produced either singly or in an umbel upon the tops of the branches.",,
Goll.,Hands; paws; claws.,,
Gome.,The black and oily grease of a cart-wheel.,,
GO'MPHOSIS.,A particular form of articulation.,,
GO'NDOLA.,A boat much used in Venice; a small boat.,,
Gondoli'er.,A boatman; one that rows a gondola.,,
Gone.,1. Advanced; forward in progress. 2. Ruined; undone. 3. Past. 4. Lost; departed. 5. Dead; departed from life.,,
Go'nfalon. Go'nfanon.,An ensign; a standard.,,
Gonorrhoe'a.,A morbid running of venereal hurts.,,
GOOD. In Good time. In Good sooth. Good To make. Good To make. Good To make.,"1. Having such physical qualities as are expected or desired. 2. Proper; fit; convenient. 3. Uncorrupted; undamaged. 4. Wholsome; salubrious. 5. Medicinal; salutary. 6. Pleasant to the taste. 7. Complete; full. 8. Useful; valuable. 9. Sound; not false; not fallacious. 10. Legal; valid; rightly claimed or held. 11. Confirmed; attested; valid. 12. Having the qualities desired to a considerable degree; sufficient; not too little. 14. No worse. 15. Well qualified; not deficient. 16. Skilful; ready; dexterous. 17. Happy; prosperous. 18. Honourable. 19. Cheerful; gay. 20. Considerable; not small though not very great. 21. Elegant; decent; delicate. 22. Real; serious; earnest. 23. Rich; of credit; able to fulfil engagements. 24. Having moral qualities, such as are wished; virtuous. 25. Kind; soft; benevolent. 26. Favourable; loving. 27. Companionable; sociable; merry. 30. Hearty; earnest; not dubious. Not too fast. Really; seriously. To keep; to maintain; not to give up; not to abandon. To perform; to confirm. To supply.",,
Good.,"1. That which physically contributes to happiness; benefit; advantage; the contrary to evil. 2. Prosperity; advancement. 3. Earnest; not jest. 4. Moral qualities, such as are desirable; virtue; righteousness; piety.",,
Good. As Good.,1. Well; not ill; not amiss. No worse.,,
Good.,Well! right!,,
Goo'd-conditioned.,Without ill qualities or symptoms.,,
Good-now.,1. In good time; a la bonne heure. A gentle exclamation of intreaty. 2. A soft exclamation of wonder.,,
Go'odliness.,Beauty; grace; elegance.,,
Go'odly.,1. Beautiful; graceful; fine; splendid. 2. Bulky; swelling; affectedly turgid. 3. Happy; desirable; gay.,,
Goo'dly.,Excellently.,,
Goo'dlyhood.,Grace; goodness.,,
Goo'dman.,1. A slight appellation of civility: 2. A rustick term of compliment; gaffer.,,
Go'odness.,Desirable qualities either moral or physicial; kindness; favour.,,
Goods.,1. Moveables in a house. 2. Wares; freight; merchandise.,,
Goo'dy.,A low term of civility used to mean persons.,,
GOOSE.,"1. A large waterfowl proverbially noted, I know not why, for foolishness. 2. A taylor's smoothing iron.",,
Go'oseberry.,"The leaves are laciniated or jagged: the whole plant is set with prickles: the fruit grows dispersedly upon the tree, having for the most part but one fruit upon a footstalk, which is of an oval or globular figure, containing many small seeds, surrounded by a pulpy substance. The species are, 1. The common gooseberry. 2. The large manured gooseberry. 3. The red hairy gooseberry. 4. The large white Dutch gooseberry. 5. The large amber gooseberry. 6. The large green gooseberry. 7. The large red gooseberry. 8. The yellow-leaved gooseberry. 9. The striped-leaved gooseberry.",,
Go'osefoot.,Wild orach.,,
Go'rbellied.,Fat; bigbellied; having swelling paunches.,,
GO'RBELLY.,A big paunch; a swelling belly. A term of reproach for a fat man.,,
GORE.,1. Blood. 2. Blood clotted or congealed.,,
To Gore.,1. To stab; to pierce. 2. To pierce with a horn.,,
GORGE.,1. The throat; the swallow. 2. That which is gorged or swallowed.,,
To Gorge.,1. To fill up to the throat; to glut; to satiate. 2. To swallow:,,
GO'RGEOUS.,Fine; splendid; glittering in various colours; showy; magnificent.,,
Go'rgeously.,Splendidly; magnificently; finely.,,
Go'rgeousness.,Splendour; magnificence; show.,,
Go'rget.,The piece of armour that defends the throat.,,
Go'rgon.,"A monster with snaky hairs, of which the sight turned beholders to stone; any thing ugly or horrid.",,
GO'RMAND.,A greedy eater; a ravenous luxurious feeder.,,
To Go'rmandize.,To eat greedily; to feed ravenously.,,
Go'rmandizer.,A voracious eater.,,
Gorse.,Furz; a thick prickly shrub that bears yellow flowers in Winter.,,
Go'ry.,1. Covered with congealed blood. 2. Bloody; murtherous; fatal.,,
Go'shawk.,A hawk of a large kind.,,
Go'sling.,1. A young goose; a goose not yet full grown. 2. A cat's tail on nut-trees and pines.,,
GO'SPEL.,1. God's word; the holy book of the Christian revelation. 2. Divinity; theology.,,
To Go'spel.,To fill with sentiments of religion.,,
Go'speller.,"A name of the followers of Wicklif, who first attempted a reformation from popery, given them by the Papists in reproach, from their professing to follow and preach only the gospel.",,
Go'ssamer.,"The down of plants; the long white cobwebs which fly in the air in calm sunny weather, especially about the time of Autumn.",,
GO'SSIP.,1. One who answers for the child in baptism. 2. A tippling companion. 3. One who runs about tattling like women at a lying-in.,,
To Go'ssip.,1. To chat; to prate; to be merry. 2. To be a pot-companion.,,
Go'ssipred.,"Gossipred or compaternity, by the canon law, is a spiritual affinity; and the juror, that was gossip to either of the parties, might, in former times, have been challenged as not indifferent.",,
GOUGE.,"A chissel having a round edge, for the cutting such wood as is to be rounded or hollowed.",,
Go'ujeres.,The French disease.,,
Gou'rdiness.,A swelling in a horse's leg after a journey.,,
GOUT.,"1. The arthritis; a periodical disease attended with great pain. 2. A drop , .",,
GOUT.,A taste.,,
Go'uty.,1. Afflicted or diseased with the gout. 2. Relating to the gout.,,
Gove.,A mow.,,
To Gove.,"To mow; to put in a gove, goff, or mow.",,
To GO'VERN.,1. To rule as a chief magistrate. 2. To regulate; to influence; to direct. 3. To manage; to restrain. To have force with regard to syntax: 5. To pilot; to regulate the motions of a ship.,,
To Go'vern.,To keep superiority; to behave with haughtiness.,,
Go'vernable.,Submissive to authority; subject to rule; obedient; manageable.,,
Go'vernance.,"1. Government; rule; management. 2. Control, as that of a guardian. 3. Behaviour; manners.",,
Go'vernante.,A lady who has the care of young girls of quality.,,
Go'verness.,1. A female invested with authority. 2. A tutoress; a woman that has the care of young ladies. 3. A tutoress; an instructress; a directress.,,
Go'vernment.,1. Form of a community with respect to the disposition of the supreme authority. 2. An establishment of legal authority. 3. Administration of publick affairs. 4. Regularity of behaviour. 5. Manageableness; compliance; obsequiousness. 6. Management of the limbs or body. Influence with regard to construction.,,
Go'vernour.,1. One who has the supreme direction. 2. One who is invested with supreme authority in a state. 3. One who rules any place with delegated and temporary authority. 4. A tutor; one who has care of a young man. 5. Pilot; regulator; manager.,,
GOWN.,"1. A long upper garment. 2. A woman's upper garment. 3. The long habit of a man dedicated to acts of peace, as divinity, medicine, law. 4. The dress of peace.",,
Go'wned.,Dressed in a gown.,,
Go'wnman.,A man devoted to the acts of peace; one whose proper habit is a gown.,,
To Gra'bble.,To grope; to feel eagerly with the hands.,,
To Gra'bble.,To lie prostrate on the ground.,,
GRACE.,"1. Favour; kindness. 2. Favourable influence of God on the human mind. 3. Virtue; effect of God's influence. 4. Pardon. 5. Favour conferred. 6. Privilege. 7. A goddess, by the heathens supposed to bestow beauty. 8. Behaviour, considered as decent or unbecoming. 9. Adventitious or artificial beauty; pleasing appearance. 10. Natural excellence. 11. Embellishment; recommendation; beauty. 12. Single beauty. 13. Ornament; flower; highest perfection. 14. Virtue; goodness. 15. Virtue physical. 16. The title of a duke; formerly of the king, meaning the same as your goodness, or your clemency. 17. A short prayer said before and after meat.",,
To Grace.,1. To adorn; to dignify; to embellish; to recommend; to decorate. 2. To dignify or raise by an act of favour. 3. To favour.,,
Grace-cup.,The cup or health drank after grace.,,
Gra'ced.,1. Beautiful; graceful. 2. Virtuous; regular; chaste.,,
Gra'ceful.,Beautiful with dignity.,,
Gra'cefully.,Elegantly; with pleasing dignity.,,
Gra'cefulness.,Elegance of manner; dignity with beauty.,,
Gra'celess.,Without grace; wicked; hopelesly corrupt; abandoned.,,
Gra'cile.,Slender; small.,,
Gra'cilent.,Lean.,,
Graci'lity.,Slenderness; smalness.,,
GRA'CIOUS.,1. Merciful; benevolent. 2. Favourable; kind. 3. Acceptable; favoured. 4. Virtuous; good. 5. Excellent. 6. Graceful; becoming.,,
Gra'ciously.,1. Kindly; with kind condescension. 2. In a pleasing manner.,,
Gra'ciousness.,1. Kind condescension. 2. Pleasing manner.,,
Grada'tion.,1. Regular progress from one degree to another. 2. Regular advance step by step. 3. Order; arrangement. 4. Regular process of argument.,,
Grada'tory.,Steps from the cloisters into the church.,,
Gra'dient.,Walking; moving by steps.,,
GRA'DUAL.,Proceeding by degrees; advancing step by step; from one stage to another.,,
Gra'dual.,An order of steps.,,
Gradua'lity.,Regular progression.,,
Gra'dually.,By degrees; in regular progression.,,
To GRA'DUATE.,1. To dignify with a degree in the university. 2. To mark with degrees. 3. To raise to a higher place in the scale of metals: 4. To heighten; to improve.,,
Gra'duate.,A man dignified with an academical degree.,,
Gradua'tion.,1. Regular progression by succession of degrees. 2. The act of conferring academical degrees.,,
Graff.,A ditch; a moat.,,
Graff. Graft.,"A small branch inserted into the stock of another tree, and nourished by its sap, but bearing its own fruit; a young cyon.",,
To GRAFF. To GRAFT.,1. To insert a cyon or branch of one tree into the stock of another. 2. To propagate by insertion or inoculation. 3. To insert into a place or body to which it did not originally belong. 4. To fill with an adscititious branch. 5. To join one thing so as to receive support from another.,,
Gra'fter.,One who propagates fruit by grafting.,,
Grail.,Small particles of any kind.,,
GRAIN. Grain of Allowance.,"1. A single seed of corn. 2. Corn. 3. The seed of any fruit. 4. Any minute particle; any single body. 5. The smallest weight, of which in physick twenty make a scruple, and in Troy weight twenty-four make a peny weight; a grain so named because it is supposed of equal weight with a grain of corn. 6. Any thing proverbially small. Something indulged or remitted; something above or under the exact weight. 8. The direction of the fibres of wood, or other fibrous matter. 9. The body of the wood. 10. The body considered with respect to the form or direction of the constituent particles. 11. Died or stained substance. 12. Temper; disposition; inclination; humour. 13. The heart; the bottom. 14. The form of the surface with regard to roughness and smoothness.",,
Gra'ined.,Rough; made less smooth.,,
Grains.,The husks of malt exhausted in brewing.,,
Gra'iny.,1. Full of corn. 2. Full of grains or kernels.,,
Grame'rcy.,An obsolete expression of surprise.,,
Grami'neous.,Grassy. Gramineous plants are such as have a long leaf without a footstalk.,,
Gramini'vorous.,Grass-eating; living upon grass.,,
GRA'MMAR.,1. The science of speaking correctly; the art which teaches the relations of words to each other. 2. Propriety or justness of speech; speech according to grammar. 3. The book that treats of the various relations of words to one another.,,
Gra'mmar School.,A school in which the learned languages are grammatically taught.,,
Gramma'rian.,One who teaches grammar; a philologer.,,
Gramma'tical.,1. Belonging to grammar. 2. Taught by grammar.,,
Gramma'tically.,According to the rules or science of grammar.,,
GRAMMATICA'STER.,A mean verbal pedant; a low grammarian.,,
Gra'mple.,A crab-fish.,,
Gra'mpus.,A large fish of the cetaceous kind.,,
Gra'nary.,A storehouse for threshed corn.,,
Gra'nate.,"A kind of marble so called, because it is marked with small variegations like grains.",,
GRAND.,1. Great; illustrious; high in power. 2. Great; splendid; magnificent. 3. Noble; sublime; lofty; conceived or expressed with great dignity. 4. It is used to signify ascent or descent of consanguinity.,,
Gra'ndam.,1. Grandmother; my father's or mother's mother. 2. An old withered woman.,,
Gra'ndaughter.,The daughter of a son or daughter.,,
Gra'ndchild.,The son or daughter of my son or daughter; one in the second degree of descent.,,
Grande'e.,"A man of great rank, power, or dignity.",,
Gra'ndeur.,1. State; splendour of appearance; magnificence. 2. Elevation of sentiment or language.,,
Grande'vity.,Great age; length of life.,,
Grande'vous.,Long lived; of great age.,,
Gra'ndfather.,The father of my father or mother; the next above my father in the scale of ascent.,,
Grandi'fick.,Making great.,,
Gra'ndity.,Greatness; grandeur; magnificence.,,
Gra'ndmother.,The father's or mother's mother.,,
Gra'ndsire.,"1. Grandfather. 2. Any ancestor,",,
Gra'ndson.,The son of a son or daughter.,,
Grange.,A farm: generally a farm with a house at a distance from neighbours.,,
Gra'nite.,"A stone composed of separate and very large concretions, rudely compacted together; of great hardness, giving fire with steel; not fermenting with acids, and imperfectly calcinable in a great fire. The hard white granite with black spots, commonly called moor-stone, forms a very firm, and though rude, yet beautifully variegated mass. It is found in immense strata in Ireland, but not used there. In Cornwal and the adjacent counties it is found on the surface of the earth in prodigious masses, and brought in great quantities to London, where it is used for the steps of publick buildings. Hard red granite, variegated with black and white, now called oriental granite, is valuable for its extreme hardness and beauty, and capable of a most elegant polish. It is common in Egypt and Arabia, and is also found in the West of England little inferiour. The vulgar opinion of their being cast out of various fragments of marble, because they appear composed of particles or granules of different colours, is easily confuted by an accurate inspection of the structure and formation of those granules, the least and meanest of which no human art could ever compose, nor fire leave in the state in which we see them. A third sort of granite has a beautiful variegation of colours, red, white, black and yellow, and capable of an elegant polish: it is little inferiour in beauty to the oriental granite, and there are immense strata of it in Minorca. Detached nodules of it, two or three foot in circumference, are also frequent on the shores of Guernsey, from whence it is brought as ballast, and used in paving our streets.",,
Grani'vorous.,Eating grain; living upon grain.,,
Gra'nnam.,Grandmother.,,
To GRANT.,1. To admit that which is not yet proved; to allow; to yield; to concede. 2. To bestow something which cannot be claimed of right.,,
Gra'ntable.,That which may be granted.,,
Gra'ntee.,He to whom any grant is made.,,
Gra'ntor.,He by whom a grant is made.,,
Gra'nulary.,Small and compact; resembling a small grain or seed.,,
To GRA'NULATE.,To be formed into small grains.,,
To Gra'nulate.,1. To break into small masses or granules. 2. To raise into small asperities.,,
GRA'NULE.,A small compact particle.,,
Gra'nulous.,Full of little grains.,,
GRAPE.,"The fruit of the vine, growing in clusters; the fruit from which wine is expressed.",,
Gra'pestone.,The stone or seed contained in the grape.,,
GRA'PHICAL.,Well delineated.,,
Gra'phically.,In a picturesque manner; with good description or delineation.,,
Gra'pnel.,1. A small anchor belonging to a little vessel. 2. A grappling iron with which in fight one ship fastens on another.,,
To GRA'PPLE.,"1. To contend by seizing each other, as wrestlers. 2. To contest in close fight.",,
To Gra'pple.,1. To fasten; to fix; to join indissolubly. 2. To seize; to lay fast hold of.,,
Gra'pple.,"1. Contest hand to hand, in which the combatants seize each other; the wrestlers hold. 2. Close fight. 3. Iron instrument by which one ship fastens on another.",,
Gra'pplement.,Close fight; hostile embrace.,,
Gra'shopper.,A small insect that hops in the Summer grass.,,
To GRASP.,1. To hold in the hand; to gripe. 2. To seize; to catch at.,,
To Grasp.,1. To catch; to endeavour to seize; to try at. 2. To struggle; to strive; to grapple. 3. To gripe; to encroach.,,
Grasp.,1. The gripe or seizure of the hand. 2. Possession; hold. 3. Power of seizing.,,
Gra'sper.,"One that grasps, seizes, or catches at.",,
To Grass.,To breed grass; to become pasture.,,
Grass of Parnassus.,"It hath a rose-shaped flower of five large leaves, and five small at the bottom fringed, of a greenish colour, and planted orbicularly: out of the flower-cup arises the pointal, which turns to an oval membranaceous fruit, having but one cell filled with seeds. This plant grows wild in most meadows, particularly in the North. It is called parnassia from mount Parnassus, where it was supposed to grow; and because the cattle feed on it, it obtained the name of grass, though the plant has no resemblance to the grass kind.",,
Grass-plot.,A small level covered with short grass.,,
Gra'ssiness.,The state of abounding in grass.,,
Gra'ssy.,Covered with grass; abounding with grass.,,
Grate.,"1. A partition made with bars placed near to one another, or crossing each other: such as are in cloysters or prisons. 2. The range of bars within which fires are made.",,
To Grate.,1. To rub or wear any thing by the attrition of a rough body. 2. To offend by any thing harsh or vexatious. 3. To form a sound by collision of asperities or hard bodies.,,
To Grate.,"1. To rub hard so as to injure or offend; to offend, as by oppression or importunity. 2. To make a harsh noise, as that of a rough body drawn over another.",,
GRA'TEFUL.,1. Having a due sense of benefits; willing to acknowledge and to repay benefits. 2. Pleasing; acceptable; delightful; delicious.,,
Gra'tefully.,1. With willingness to acknowledge and repay benefits; with due sense of obligation. 2. In a pleasing manner.,,
Gra'tefulness.,1. Gratitude; duty to benefactors. 2. Quality of being acceptable; pleasantness.,,
Gra'ter.,A kind of coarse file with which soft bodies are rubbed to powder.,,
Gratifica'tion.,1. The act of pleasing. 2. Pleasure; delight. 3. Reward; recompence.,,
To Gra'tify.,1. To indulge; to please by compliance. 2. To delight; to please. 3. To requite with a gratification:,,
Gra'tingly.,Harshly; offensively.,,
GRA'TIS.,For nothing; without a recompence.,,
Gra'titude.,1. Duty to benefactors. 2. Desire to return benefits.,,
GRATU'ITOUS.,1. Voluntary; granted without claim or merit. 2. Asserted without proof.,,
Gratu'itously.,1. Without claim or merit. 2. Without proof.,,
Gratu'ity.,A present or acknowledgment; a free gift.,,
To Gra'tulate.,1. To congratulate; to salute with declarations of joy. 2. To declare joy for.,,
Gratula'tion.,Salutations made by expressing joy; expression of joy.,,
Gra'tulatory.,"Congratulatory, expressing congratulation.",,
GRAVE.,The place in the ground in which the dead are reposited.,,
Grave.,1. Solemn; serious; sober; not gay; not light or trifling. 2. Of weight; not futile; credible. 3. Not showy; not tawdry: 4. Not sharp of sound; not acute.,,
To Grave.,To write or delineate on hard substances.,,
